Iteration,PE_X,PE_Y,SRAM,EDP,Total_Energy,Logic_Energy,DRAM_Energy,Cycles
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.28
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,34.47
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.38
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.12
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.08
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.06
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.17
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,34.38
7,baseline,4,24,4683204,2.3510055675431485e+18,57802752,40672900272.0,36.04047763999999,28.67
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.30
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,32.40
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,37.11
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.93
3,baseline,4,24,3302573,1.995539486892959e+18,57802753,34523260283.0,28.96251764,25.73
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.52
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.58
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.60
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.31
3,baseline,4,24,3302573,1.995539486892959e+18,57802753,34523260283.0,28.96251764,25.49
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.71
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.53
3,baseline,4,24,3302573,1.995539486892959e+18,57802753,34523260283.0,28.96251764,25.90
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.51
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.59
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.40
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.86
3,baseline,4,24,3302573,1.995539486892959e+18,57802753,34523260283.0,28.96251764,25.37
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.32
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.38
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.60
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.24
3,baseline,4,24,3302573,1.995539486892959e+18,57802753,34523260283.0,28.96251764,25.26
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.29
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.18
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,34.49
7,baseline,4,24,4683204,2.351005608851879e+18,57802753,40672900283.0,36.04047763999999,28.57
8,atomic,6,15,16596469,1e+17,0,0,121.760623,34.49
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.41
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.37
3,baseline,4,24,3302573,1.9955395572111404e+18,57802755,34523260305.0,28.96251764,25.27
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.61
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.31
3,baseline,4,24,3302573,1.9955395572111404e+18,57802755,34523260305.0,28.96251764,25.26
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.62
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.99
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,35.10
7,baseline,4,24,4683204,2.351005608851879e+18,57802753,40672900283.0,36.04047763999999,29.30
8,atomic,6,15,16596469,1e+17,0,0,121.760623,34.80
9,baseline,1,18,18503789,4.253350195840927e+16,7225345,5886708795.0,23.02473684,197.05
10,atomic,2,12,7014112,3.029102982059786e+17,6422528,47163717808.0,18.362257080000003,29.49
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.60
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.05
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.38
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.08
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.39
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,34.49
7,baseline,4,24,4683204,2.3510055675431485e+18,57802752,40672900272.0,36.04047763999999,28.70
8,atomic,6,15,16596469,1e+17,0,0,121.760623,34.49
9,baseline,1,18,18503789,4.25334959922217e+16,7225344,5886708784.0,23.02473684,191.39
10,atomic,2,12,7014112,3.029102982059786e+17,6422528,47163717808.0,18.362257080000003,29.30
11,baseline,5,18,6349724,2.7603241952807485e+18,57802752,47754200272.0,47.348885200000005,29.41
12,atomic,6,28,11852197,1e+17,0,0,110.40342364,32.38
13,baseline,2,16,6558743,2.8013502765402685e+18,57802752,48463960272.0,18.668156919999998,29.31
14,atomic,3,21,10568648,1.1858805608065598e+17,2157568,54963762940.8,45.39098368,32.21
15,baseline,1,14,8893858,4.217658372092068e+17,14450688,29186557568.0,11.980668360000001,183.66
16,atomic,3,19,7975318,1.0319357106817598e+17,2157568,47828652940.8,35.803305280000004,31.81
17,baseline,1,21,4217881,3.80473521560617e+16,7225344,5265818784.0,7.760337560000001,182.54
18,atomic,1,27,4063895,1.3469530934214656e+16,3211264,4194463904.0,9.22578164,34.72
19,baseline,2,20,9422218,3.1729624350657085e+18,57802752,54892930272.0,27.344131,32.23
20,atomic,3,16,11041967,1.2128098142849598e+17,2157568,56211892940.8,43.62971488,32.31
21,baseline,1,15,9805705,4.387156271919268e+17,14450688,30359497568.0,13.098537,181.03
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.39
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.03
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.11
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.60
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.24
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.08
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.17
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.58
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.03
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.20
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.07
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.91
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.05
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.09
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.08
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.53
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.14
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.20
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.08
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.49
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,34.82
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.50
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.27
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.31
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.49
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,37.37
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.40
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,30.93
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.25
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.73
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,32.50
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.57
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.21
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.38
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,37.03
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.76
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.49
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,23.45
5,baseline,6,15,15124883,1e+17,0,0,112.247023,33.64
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,35.63
7,baseline,4,24,4683204,2.3510055675431485e+18,57802752,40672900272.0,36.04047763999999,29.23
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.84
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,32.17
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.71
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.54
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.75
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.50
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.18
5,baseline,6,15,15124883,1e+17,0,0,112.247023,34.14
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.75
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,30.94
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.09
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,21.98
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.29
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,34.51
7,baseline,4,24,4683204,2.3510055675431485e+18,57802752,40672900272.0,36.04047763999999,28.56
8,atomic,6,15,16596469,1e+17,0,0,121.760623,34.78
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.28
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.60
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.35
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.07
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.49
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,34.45
7,baseline,4,24,4683204,2.3510055675431485e+18,57802752,40672900272.0,36.04047763999999,28.73
8,atomic,6,15,16596469,1e+17,0,0,121.760623,35.81
9,baseline,1,18,18503789,4.25334959922217e+16,7225344,5886708784.0,23.02473684,189.37
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.22
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.36
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.31
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.18
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.77
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.22
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.20
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.30
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,34.71
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.43
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,32.18
